Time,xPosition4,yPosition4,Angle1,Angle2,Angle3,absInterPointDistance1,xInterPointDistance2,yInterPointDistance2,absInterPointDistance3,absInterPointDistance4,absInterPointDistance5
0.0,866.69,130.59,-0.1853190599767579,2.9921052031564788,-2.4152215254947933,72.37,20.66,-28.24,102.95,100.97,245.12
0.0005,866.57,130.58,-0.18678513654843315,2.992140109741519,-2.4150818991546337,72.37,20.79,-28.23,102.62,100.68,245.17
0.001,866.44,130.61,-0.1883384795827081,2.9925066288844375,-2.4160243769507104,72.37,20.91,-28.26,102.63,100.73,244.99
0.0015,866.31,130.6,-0.18959511664414402,2.992122656448999,-2.414558300379035,72.37,21.04,-28.25,102.46,100.61,244.9
0.002,866.16,130.61,-0.19111355309337907,2.99165141755096,-2.4148375530593547,72.37,21.19,-28.26,102.3,100.44,244.83
0.0025,866.0,130.69,-0.19275416259025377,2.990743846339923,-2.4143488608687957,72.37,21.35,-28.33,102.07,100.27,244.9
0.003,865.87,130.75,-0.19439477208712844,2.9899759014690455,-2.4117832268683643,72.37,21.49,-28.4,101.79,100.07,244.95
0.0035,865.74,130.76,-0.1972396587678792,2.9897141020812468,-2.41314458368492,72.37,21.62,-28.41,101.8,100.1,244.8
0.004,865.55,130.81,-0.19353956075365122,2.9893650362308475,-2.40689630496278,72.37,21.81,-28.46,101.6,99.92,244.76
0.0045,865.38,130.85,-0.19722220547535926,2.98868435782257,-2.4089557934801333,72.37,21.97,-28.49,101.4,99.76,244.73
0.005,865.14,130.95,-0.20020671849626953,2.987514987223734,-2.4088685270175336,72.37,22.21,-28.59,101.08,99.48,244.55
0.0055,864.86,131.19,-0.2020044076258237,2.9853507789512608,-2.4073849971533385,72.37,22.5,-28.84,100.98,99.43,244.69
0.006,864.57,131.25,-0.2084970324432426,2.9842512215225048,-2.4118181334534046,72.37,22.78,-28.89,100.25,98.7,244.61
0.0065,864.19,131.4,-0.2134188609338666,2.9826280653181496,-2.4136158225829583,72.37,23.16,-29.04,100.17,98.62,244.41
0.007,863.76,131.82,-0.21498965726066152,2.978927967303922,-2.410229883834089,72.37,23.59,-29.47,100.1,98.54,244.46
0.0075,863.34,132.02,-0.2239431963233924,2.976763759031449,-2.4125860783242814,72.37,24.01,-29.67,99.67,98.2,244.46
0.008,862.85,132.4,-0.22813198652817882,2.973482540037699,-2.4114865208955254,72.37,24.5,-30.05,99.54,98.1,244.21
0.0085,862.32,132.7,-0.24005258531930007,2.970532933601829,-2.4237038256594854,72.37,25.04,-30.35,98.81,97.34,244.28
0.009,861.72,133.12,-0.2478891136607546,2.96707718168288,-2.4250128225984815,72.37,25.63,-30.77,98.55,97.19,244.21
0.0095,861.02,133.43,-0.25600489468252824,2.9648431602403273,-2.4263741794150366,72.37,26.33,-31.08,98.09,96.88,244.08
0.01,860.34,133.97,-0.2669481090925327,2.9608638095457804,-2.430318623524544,72.37,27.02,-31.62,97.87,96.79,244.1
0.0105,859.6,134.52,-0.2759365547403035,2.957408057626832,-2.4295506786536665,72.37,27.75,-32.17,97.36,96.45,243.98
0.011,858.78,135.14,-0.2838778028368777,2.953376347054725,-2.430336076817064,72.37,28.57,-32.79,97.05,96.23,243.73
0.0115,857.87,135.71,-0.2987480080638694,2.950077674768455,-2.4356244244506065,72.37,29.48,-33.36,96.46,95.72,243.63
0.012,856.91,136.38,-0.3120823235491061,2.9464124833392673,-2.4391325362471155,72.37,30.44,-34.02,96.06,95.39,243.6
0.0125,855.91,137.15,-0.32876767119817185,2.942241146427001,-2.444996842533816,72.37,31.45,-34.8,95.57,95.01,243.58
0.013,854.85,137.92,-0.33861132817941986,2.9384014220726136,-2.4444034305881384,72.37,32.5,-35.57,95.03,94.61,243.53
0.0135,853.69,138.75,-0.3569198320328404,2.934404618085546,-2.4507913356504374,72.37,33.67,-36.4,94.59,94.37,243.28
0.014,852.46,139.6,-0.37372735272954577,2.9310361326291976,-2.4560447766989406,72.37,34.89,-37.25,94.02,94.01,243.21
0.0145,851.17,140.55,-0.39142499134476827,2.926899702301971,-2.4609491518970446,72.37,36.19,-38.2,93.36,93.54,243.21
0.015,849.79,141.56,-0.40852921801431274,2.923199604287743,-2.466080419897908,72.37,37.56,-39.2,92.73,93.09,243.1
0.0155,848.33,142.57,-0.43079961926976035,2.919831118831394,-2.478088285151629,72.37,39.02,-40.22,92.01,92.54,242.97
0.016,846.77,143.71,-0.4511850649330541,2.916637166300244,-2.485715373982844,72.37,40.59,-41.35,91.2,91.94,242.94
0.0165,845.06,145.13,-0.4707676591404305,2.9115582581769406,-2.488822060051394,72.37,42.29,-42.78,90.82,91.84,242.89
0.017,843.11,146.68,-0.49158943711672287,2.9067411494414364,-2.494058047807377,72.37,44.24,-44.32,90.1,91.43,242.64
0.0175,841.37,147.87,-0.5123588552154554,2.9044547681213237,-2.4994336619035193,72.37,45.99,-45.52,89.27,90.96,242.61
0.018,839.5,149.08,-0.5366887449882564,2.9024301861890103,-2.5102372499733643,72.37,47.85,-46.73,88.52,90.49,242.64
0.0185,837.39,150.71,-0.5616818598768152,2.8986951815897424,-2.5163109957703047,72.37,49.97,-48.36,87.8,90.18,242.61
0.019,835.36,152.01,-0.5843885934452613,2.8974909044058665,-2.5179865118522193,72.37,51.99,-49.66,87.18,90.07,242.57
0.0195,832.99,153.81,-0.6098005873542988,2.894104965656997,-2.5302561764937397,72.37,54.36,-51.46,86.37,89.51,242.69
0.02,830.59,155.55,-0.637429149413369,2.891399705316406,-2.5358237768076015,72.37,56.77,-53.2,85.57,89.21,242.7
0.0205,828.27,157.03,-0.663591634900764,2.890788840078208,-2.541094671148624,72.37,59.08,-54.67,84.94,89.07,242.67
0.021,825.68,158.92,-0.6908711311094354,2.888432645588016,-2.5555809039401773,72.37,61.68,-56.57,83.21,87.55,242.82
0.0215,822.96,160.87,-0.7283433501497537,2.886146264267903,-2.562003715587516,72.37,64.39,-58.52,83.33,88.29,242.91
0.022,820.19,162.81,-0.759933809610851,2.884907080498987,-2.5730341964601204,72.37,67.17,-60.46,82.41,87.73,243.0
0.0225,817.28,164.84,-0.7982961465696864,2.8849768936690667,-2.589073772285948,72.37,70.08,-62.49,81.67,87.49,242.77
0.023,814.25,166.97,-0.8341975692832098,2.8845580146485883,-2.604205776900739,72.37,73.1,-64.62,80.66,87.0,242.46
0.0235,810.95,169.48,-0.8719141344188073,2.8817131279678376,-2.6162834553245395,72.37,76.4,-67.13,79.65,86.52,242.18
0.024,807.73,171.74,-0.9167167363175016,2.88078810346428,-2.624067623788435,72.37,79.62,-69.39,79.39,87.1,241.75
0.0245,804.24,174.38,-0.9542413152353797,2.8774894311780113,-2.6421666881316157,72.37,83.12,-72.03,78.99,87.13,242.13
